-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 08/01/2019 through 10/01/2019 
Location: Latitude  28.4891   Longitude 77.0515 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,T2M
2019,8,1,0,28.76
2019,8,1,1,28.19
2019,8,1,2,27.76
2019,8,1,3,27.42
2019,8,1,4,27.13
2019,8,1,5,27.26
2019,8,1,6,28.81
2019,8,1,7,30.26
2019,8,1,8,31.44
2019,8,1,9,32.78
2019,8,1,10,34.19
2019,8,1,11,35.23
2019,8,1,12,35.95
2019,8,1,13,36.33
2019,8,1,14,36.46
2019,8,1,15,35.92
2019,8,1,16,35.05
2019,8,1,17,33.96
2019,8,1,18,32.61
2019,8,1,19,31.72
2019,8,1,20,31.2
2019,8,1,21,30.62
2019,8,1,22,30.08
2019,8,1,23,29.64
2019,8,2,0,29.23
2019,8,2,1,28.85
2019,8,2,2,28.51
2019,8,2,3,28.26
2019,8,2,4,28.01
2019,8,2,5,28.02
2019,8,2,6,29.24
2019,8,2,7,31.65
2019,8,2,8,33.2
2019,8,2,9,34.06
2019,8,2,10,34.54
2019,8,2,11,34.77
2019,8,2,12,34.98
2019,8,2,13,34.85
2019,8,2,14,34.37
2019,8,2,15,33.59
2019,8,2,16,32.34
2019,8,2,17,30.89
2019,8,2,18,29.31
2019,8,2,19,28.5
2019,8,2,20,28.2
2019,8,2,21,28.05
2019,8,2,22,27.98
2019,8,2,23,27.94
2019,8,3,0,27.87
2019,8,3,1,27.79
2019,8,3,2,27.69
2019,8,3,3,27.57
2019,8,3,4,27.44
2019,8,3,5,27.41
2019,8,3,6,27.7
2019,8,3,7,28.37
2019,8,3,8,29.08
2019,8,3,9,29.85
2019,8,3,10,30.68
2019,8,3,11,31.59
2019,8,3,12,32.05
2019,8,3,13,32.1
2019,8,3,14,32.0
2019,8,3,15,31.87
2019,8,3,16,31.49
2019,8,3,17,30.83
2019,8,3,18,29.69
2019,8,3,19,28.99
2019,8,3,20,28.69
2019,8,3,21,28.44
2019,8,3,22,28.22
2019,8,3,23,28.03
2019,8,4,0,27.69
2019,8,4,1,27.24
2019,8,4,2,26.91
2019,8,4,3,26.73
2019,8,4,4,26.65
2019,8,4,5,26.65
2019,8,4,6,26.98
2019,8,4,7,27.73
2019,8,4,8,28.63
2019,8,4,9,29.69
2019,8,4,10,30.9
2019,8,4,11,31.37
2019,8,4,12,31.22
2019,8,4,13,31.02
2019,8,4,14,30.91
2019,8,4,15,31.13
2019,8,4,16,31.13
2019,8,4,17,30.75
2019,8,4,18,29.74
2019,8,4,19,29.26
2019,8,4,20,29.19
2019,8,4,21,29.15
2019,8,4,22,28.9
2019,8,4,23,28.47
2019,8,5,0,28.08
2019,8,5,1,27.82
